simulation_id,position,name,bot_class,payout_pct
9,41,TestBot_5,TestBot5,0.0
9,42,TestBot_14,TestBot14,0.0
9,43,TestBot_21,TestBot21,0.0
9,44,TestBot_11,TestBot11,0.0
9,45,TestBot_34,TestBot34,0.0
9,46,TestBot_49,TestBot49,0.0
9,47,TestBot_13,TestBot13,0.0
9,48,TestBot_46,TestBot46,0.0
9,49,RandomBot,RandomBot,0.0
9,50,TestBot_42,TestBot42,0.0
9,51,TestBot_1,TestBot1,0.0
9,52,TestBot_18,TestBot18,0.0
7,1,TestBot_43,TestBot43,0.5
7,2,TestBot_16,TestBot16,0.3
7,3,TestBot_41,TestBot41,0.2
7,4,TestBot_49,TestBot49,0.0
7,5,TestBot_23,TestBot23,0.0
7,6,TestBot_15,TestBot15,0.0
7,7,TestBot_20,TestBot20,0.0
7,8,TestBot_18,TestBot18,0.0
7,9,TestBot_45,TestBot45,0.0
7,10,TestBot_44,TestBot44,0.0
7,11,TestBot_14,TestBot14,0.0
7,12,TestBot_32,TestBot32,0.0
7,13,TestBot_25,TestBot25,0.0
7,14,TestBot_13,TestBot13,0.0
7,15,TestBot_12,TestBot12,0.0
7,16,TestBot_4,TestBot4,0.0
7,17,TestBot_42,TestBot42,0.0
7,18,TestBot_26,TestBot26,0.0
7,19,TestBot_17,TestBot17,0.0
7,20,TestBot_8,TestBot8,0.0
7,21,TestBot_10,TestBot10,0.0
7,22,TestBot_48,TestBot48,0.0
7,23,TestBot_37,TestBot37,0.0
7,24,TestBot_40,TestBot40,0.0
7,25,TestBot_21,TestBot21,0.0
7,26,TestBot_30,TestBot30,0.0
7,27,TestBot_1,TestBot1,0.0
7,28,TestBot_33,TestBot33,0.0
7,29,TestBot_34,TestBot34,0.0
7,30,TestBot_27,TestBot27,0.0
7,31,TestBot_5,TestBot5,0.0
7,32,TestBot_7,TestBot7,0.0
7,33,TestBot_9,TestBot9,0.0
7,34,TestBot_24,TestBot24,0.0
7,35,TestBot_22,TestBot22,0.0
7,36,TestBot_28,TestBot28,0.0
7,37,TestBot_11,TestBot11,0.0
7,38,TestBot_39,TestBot39,0.0
7,39,TestBot_50,TestBot50,0.0
7,40,TestBot_36,TestBot36,0.0
7,41,TestBot_38,TestBot38,0.0
7,42,TestBot_19,TestBot19,0.0
7,43,TestBot_2,TestBot2,0.0
7,44,TestBot_47,TestBot47,0.0
7,45,TestBot_3,TestBot3,0.0
7,46,TestBot_6,TestBot6,0.0
7,47,TestBot_46,TestBot46,0.0
7,48,TestBot_35,TestBot35,0.0
7,49,TestBot_29,TestBot29,0.0
7,50,CallBot,CallBot,0.0
7,51,TestBot_31,TestBot31,0.0
7,52,RandomBot,RandomBot,0.0
3,1,TestBot_17,TestBot17,0.5
3,2,TestBot_43,TestBot43,0.3
3,3,TestBot_25,TestBot25,0.2
3,4,TestBot_20,TestBot20,0.0
3,5,TestBot_45,TestBot45,0.0
3,6,TestBot_49,TestBot49,0.0
3,7,TestBot_4,TestBot4,0.0
3,8,TestBot_41,TestBot41,0.0
3,9,CallBot,CallBot,0.0
3,10,TestBot_38,TestBot38,0.0
3,11,TestBot_15,TestBot15,0.0
3,12,TestBot_36,TestBot36,0.0
3,13,TestBot_42,TestBot42,0.0
3,14,TestBot_44,TestBot44,0.0
3,15,TestBot_46,TestBot46,0.0
3,16,TestBot_47,TestBot47,0.0
3,17,TestBot_32,TestBot32,0.0
3,18,TestBot_2,TestBot2,0.0
3,19,TestBot_35,TestBot35,0.0
3,20,TestBot_24,TestBot24,0.0
3,21,TestBot_39,TestBot39,0.0
3,22,TestBot_10,TestBot10,0.0
3,23,TestBot_9,TestBot9,0.0
3,24,TestBot_22,TestBot22,0.0
3,25,TestBot_28,TestBot28,0.0
3,26,TestBot_27,TestBot27,0.0
3,27,TestBot_29,TestBot29,0.0
3,28,TestBot_1,TestBot1,0.0
3,29,TestBot_30,TestBot30,0.0
3,30,TestBot_3,TestBot3,0.0
3,31,TestBot_37,TestBot37,0.0
3,32,TestBot_26,TestBot26,0.0
3,33,TestBot_23,TestBot23,0.0
3,34,TestBot_12,TestBot12,0.0
3,35,TestBot_6,TestBot6,0.0
3,36,TestBot_34,TestBot34,0.0
3,37,TestBot_8,TestBot8,0.0
3,38,TestBot_21,TestBot21,0.0
3,39,TestBot_7,TestBot7,0.0
3,40,TestBot_13,TestBot13,0.0
3,41,TestBot_5,TestBot5,0.0
3,42,TestBot_33,TestBot33,0.0
3,43,TestBot_40,TestBot40,0.0
3,44,TestBot_31,TestBot31,0.0
3,45,TestBot_48,TestBot48,0.0
3,46,TestBot_18,TestBot18,0.0
3,47,TestBot_50,TestBot50,0.0
3,48,TestBot_16,TestBot16,0.0
3,49,TestBot_19,TestBot19,0.0
3,50,TestBot_14,TestBot14,0.0
3,51,RandomBot,RandomBot,0.0
3,52,TestBot_11,TestBot11,0.0
5,1,TestBot_47,TestBot47,0.5
5,2,TestBot_3,TestBot3,0.3
5,3,CallBot,CallBot,0.2
5,4,TestBot_2,TestBot2,0.0
5,5,TestBot_31,TestBot31,0.0
5,6,TestBot_7,TestBot7,0.0
5,7,TestBot_37,TestBot37,0.0
5,8,TestBot_24,TestBot24,0.0
5,9,TestBot_27,TestBot27,0.0
5,10,TestBot_39,TestBot39,0.0
5,11,TestBot_32,TestBot32,0.0
5,12,TestBot_25,TestBot25,0.0
5,13,TestBot_30,TestBot30,0.0
5,14,TestBot_45,TestBot45,0.0
5,15,TestBot_18,TestBot18,0.0
5,16,TestBot_11,TestBot11,0.0
5,17,TestBot_44,TestBot44,0.0
5,18,TestBot_36,TestBot36,0.0
5,19,TestBot_10,TestBot10,0.0
5,20,TestBot_50,TestBot50,0.0
5,21,TestBot_41,TestBot41,0.0
5,22,TestBot_14,TestBot14,0.0
5,23,TestBot_21,TestBot21,0.0
5,24,TestBot_23,TestBot23,0.0
5,25,TestBot_48,TestBot48,0.0
5,26,TestBot_28,TestBot28,0.0
5,27,TestBot_22,TestBot22,0.0
5,28,TestBot_5,TestBot5,0.0
5,29,TestBot_6,TestBot6,0.0
5,30,TestBot_1,TestBot1,0.0
5,31,TestBot_40,TestBot40,0.0
5,32,TestBot_46,TestBot46,0.0
5,33,TestBot_43,TestBot43,0.0
5,34,TestBot_15,TestBot15,0.0
5,35,TestBot_4,TestBot4,0.0
5,36,TestBot_17,TestBot17,0.0
5,37,TestBot_20,TestBot20,0.0
5,38,TestBot_26,TestBot26,0.0
5,39,TestBot_49,TestBot49,0.0
5,40,TestBot_12,TestBot12,0.0
5,41,TestBot_9,TestBot9,0.0
5,42,TestBot_29,TestBot29,0.0
5,43,TestBot_34,TestBot34,0.0
5,44,TestBot_35,TestBot35,0.0
5,45,TestBot_8,TestBot8,0.0
5,46,TestBot_42,TestBot42,0.0
5,47,TestBot_16,TestBot16,0.0
5,48,TestBot_19,TestBot19,0.0
5,49,TestBot_33,TestBot33,0.0
5,50,TestBot_13,TestBot13,0.0
5,51,TestBot_38,TestBot38,0.0
5,52,RandomBot,RandomBot,0.0
6,1,TestBot_32,TestBot32,0.5
6,2,TestBot_27,TestBot27,0.3
6,3,TestBot_46,TestBot46,0.2
6,4,TestBot_6,TestBot6,0.0
6,5,TestBot_45,TestBot45,0.0
6,6,TestBot_30,TestBot30,0.0
6,7,TestBot_18,TestBot18,0.0
6,8,TestBot_11,TestBot11,0.0
6,9,TestBot_34,TestBot34,0.0
6,10,TestBot_33,TestBot33,0.0
6,11,TestBot_47,TestBot47,0.0
6,12,TestBot_4,TestBot4,0.0
6,13,TestBot_43,TestBot43,0.0
6,14,TestBot_40,TestBot40,0.0
6,15,TestBot_49,TestBot49,0.0
6,16,TestBot_36,TestBot36,0.0
6,17,TestBot_50,TestBot50,0.0
6,18,TestBot_35,TestBot35,0.0
6,19,TestBot_41,TestBot41,0.0
6,20,TestBot_26,TestBot26,0.0
6,21,TestBot_42,TestBot42,0.0
6,22,CallBot,CallBot,0.0
6,23,TestBot_15,TestBot15,0.0
6,24,TestBot_24,TestBot24,0.0
6,25,TestBot_28,TestBot28,0.0
6,26,TestBot_39,TestBot39,0.0
6,27,TestBot_12,TestBot12,0.0
6,28,TestBot_17,TestBot17,0.0
6,29,TestBot_16,TestBot16,0.0
6,30,TestBot_1,TestBot1,0.0
6,31,TestBot_21,TestBot21,0.0
6,32,TestBot_29,TestBot29,0.0
6,33,TestBot_23,TestBot23,0.0
6,34,TestBot_14,TestBot14,0.0
6,35,TestBot_13,TestBot13,0.0
6,36,TestBot_22,TestBot22,0.0
6,37,TestBot_37,TestBot37,0.0
6,38,TestBot_38,TestBot38,0.0
6,39,TestBot_31,TestBot31,0.0
6,40,TestBot_8,TestBot8,0.0
6,41,TestBot_48,TestBot48,0.0
6,42,TestBot_3,TestBot3,0.0
6,43,TestBot_25,TestBot25,0.0
6,44,TestBot_2,TestBot2,0.0
6,45,TestBot_20,TestBot20,0.0
6,46,TestBot_9,TestBot9,0.0
6,47,TestBot_5,TestBot5,0.0
6,48,TestBot_19,TestBot19,0.0
6,49,TestBot_7,TestBot7,0.0
6,50,TestBot_44,TestBot44,0.0
6,51,TestBot_10,TestBot10,0.0
6,52,RandomBot,RandomBot,0.0
8,1,TestBot_15,TestBot15,0.5
8,2,TestBot_31,TestBot31,0.3
8,3,TestBot_9,TestBot9,0.2
8,4,TestBot_6,TestBot6,0.0
8,5,TestBot_33,TestBot33,0.0
8,6,TestBot_7,TestBot7,0.0
8,7,TestBot_2,TestBot2,0.0
8,8,TestBot_13,TestBot13,0.0
8,9,TestBot_26,TestBot26,0.0
8,10,TestBot_48,TestBot48,0.0
8,11,TestBot_17,TestBot17,0.0
8,12,TestBot_4,TestBot4,0.0
8,13,TestBot_41,TestBot41,0.0
8,14,TestBot_1,TestBot1,0.0
8,15,TestBot_43,TestBot43,0.0
8,16,TestBot_5,TestBot5,0.0
8,17,TestBot_23,TestBot23,0.0
8,18,TestBot_14,TestBot14,0.0
8,19,TestBot_46,TestBot46,0.0
8,20,TestBot_44,TestBot44,0.0
8,21,TestBot_40,TestBot40,0.0
8,22,TestBot_37,TestBot37,0.0
8,23,TestBot_19,TestBot19,0.0
8,24,TestBot_45,TestBot45,0.0
8,25,TestBot_25,TestBot25,0.0
8,26,TestBot_24,TestBot24,0.0
8,27,TestBot_16,TestBot16,0.0
8,28,TestBot_50,TestBot50,0.0
8,29,TestBot_34,TestBot34,0.0
8,30,TestBot_3,TestBot3,0.0
